"","Date","^GSPC","T","S","VOD","TMUS","MBT","PTNR","UAL","LUV","ALK","ATSG","SKYW","ALGT","PG","CLX","REV","UL","OBCI","KMB","JNJ","AMGN","PFE","ABT","BIIB","VRTX","BRK-B","JPM","BAC","WFC","C","AXP"
"45","2015-09-01",1920.030029,25.516411,3.84,25.544224,39.069687,4.668029,4.37,53.049999,36.311501,73.045547,8.55,15.993981,197.469009,62.520218,102.771515,29.450001,35.388004,2.445755,93.751228,82.646431,122.107063,26.619904,36.668995,291.809998,104.139999,130.399994,53.287121,14.320333,44.409157,45.744743,68.63607
"46","2015-10-01",2079.360107,26.244778,4.73,24.939089,37.18539,4.434628,4.53,60.310001,44.186623,70.103493,9.79,18.300648,180.301773,66.378838,108.473633,31.370001,38.572758,2.781813,103.803238,89.445831,139.63916,28.662374,40.844631,290.51001,124.739998,136.020004,56.153805,15.472969,46.822037,49.027374,67.830551
"47","2015-11-01",2080.409912,26.74749,3.65,25.385376,34.839836,4.550676,4.5,55.73,43.795258,73.302971,9.51,19.809683,159.920258,65.624962,111.268143,27.379999,37.470406,2.128367,103.31765,89.63176,142.216949,27.772503,41.191845,286.859985,129.360001,134.089996,58.698101,16.072336,47.652279,49.921299,66.581673
"48","2015-12-01",2043.939941,27.335344,3.62,24.806866,39.119999,3.989102,4.37,57.299999,41.103397,74.213692,10.08,18.281422,153.496414,69.632271,113.532898,27.84,37.706505,1.997678,110.384705,91.612457,144.028152,27.578041,41.182674,306.350006,125.830002,132.039993,58.1259,15.519072,47.335461,47.761627,64.639244
"49","2016-01-01",1940.23999,28.646107,3.02,24.760727,40.150002,4.518402,4.49,48.279999,35.964996,64.894318,9.73,14.465014,148.137955,71.631538,115.520164,29.73,38.712124,1.960338,112.170776,93.146477,135.510483,26.048777,34.708626,273.059998,90.75,129.770004,52.377575,13.075312,43.739147,39.298367,49.722496
"50","2016-02-01",1932.22998,29.76619,3.44,23.376589,37.099998,4.518402,4.47,57.259998,40.104492,68.12059,11.55,17.383053,151.285889,71.017464,113.852989,35,37.444164,1.857654,113.812912,93.833183,126.238663,25.348219,35.74894,259.420013,85.489998,134.169998,49.893093,11.577291,40.856865,35.900093,51.881706
"51","2016-03-01",2059.73999,31.554577,3.48,24.645384,38.299999,5.221981,4.66,59.860001,42.829117,75.894157,15.38,19.251371,164.37616,72.804176,113.52877,36.41,39.804909,2.175042,117.490211,97.199219,133.951157,25.577169,38.600372,260.320007,79.489998,141.880005,52.480804,12.501996,42.436703,38.579895,57.314445
"52","2016-04-01",2065.300049,31.272621,3.43,25.175968,39.279999,5.9772,5.14,45.810001,42.723858,65.169785,14.09,22.678755,148.490829,70.867104,112.781288,36.43,39.522984,2.193712,110.119087,100.684746,141.429123,28.226358,35.896587,274.98999,84.339996,145.479996,56.007893,13.51492,43.858265,42.765919,61.076286
"53","2016-05-01",2096.949951,31.929537,3.8,26.137177,42.759998,5.654456,5.27,45.09,40.68391,61.440769,12.65,22.775261,128.561951,72.267593,116.471703,31.18,40.462627,2.287534,111.746368,101.232735,141.11647,29.94359,36.793636,289.730011,93.150002,140.539993,58.270561,13.728414,44.507633,43.079418,61.681522
"54","2016-06-01",2098.860107,35.240749,4.53,23.753378,43.27,5.344623,4.52,41.040001,37.552181,54.164276,12.96,25.535311,140.79039,75.504646,125.396919,32.18,42.549694,2.325819,120.929565,109.745323,136.829498,30.655773,36.496544,241.820007,86.019997,144.789993,55.476215,12.317511,41.850918,39.212719,56.991611
"55","2016-07-01",2173.600098,35.305996,6.14,24.57645,46.34,6.040363,4.75,46.889999,35.530422,62.462231,14.48,27.821527,120.596481,76.325058,118.764175,35.490002,41.572769,2.038681,114.765152,113.300957,154.707718,32.118469,41.547188,289.929993,97,144.270004,57.109982,13.495568,42.416832,40.526299,60.766499
"56","2016-08-01",2170.949951,33.713776,6.18,24.377613,46.34,5.523976,4.69,50.41,35.405617,62.750263,14.48,27.299332,128.467728,78.468536,119.44384,36.189999,41.261925,2.507673,113.445206,107.972038,152.936081,30.298807,39.252888,305.630005,94.510002,150.490005,60.730537,15.032331,44.91922,44.321838,61.822315
"57","2016-09-01",2168.27002,33.491104,6.63,23.18458,46.720001,5.184248,4.54,52.470001,37.436771,61.454071,14.35,25.53933,123.400337,80.661461,114.102425,36.779999,42.415421,2.699098,111.744308,107.590302,150.885376,29.734221,39.505112,313.029999,87.209999,144.470001,59.911797,14.643795,39.468422,43.848354,60.370567
"58","2016-10-01",2126.149902,30.340742,6.16,22.142666,49.73,5.238604,4.58,56.23,38.553429,67.388603,13.23,29.211275,128.84761,78.010193,109.399048,34,37.287979,2.727812,102.079536,105.64122,127.684097,27.837975,36.65596,280.179993,75.860001,144.300003,62.314026,15.439146,41.010433,45.63089,62.614182
"59","2016-11-01",2198.810059,32.246124,7.84,19.438461,54.209999,5.583024,4.85,68.949997,44.868294,76.766258,16.200001,35.702667,152.67363,74.681419,106.040398,27.75,36.078072,3.483943,103.150208,101.369682,130.316269,28.215467,35.789078,294.070007,81.610001,157.440002,72.654205,19.762106,47.169579,52.352501,68.253929
"60","2016-12-01",2238.830078,33.706917,8.42,20.305553,57.509998,6.495702,4.69,75.169998,47.9776,83.106407,15.96,35.362644,156.138306,76.148613,110.132965,29.15,36.727798,3.598798,101.820786,105.655914,133.14534,28.106752,36.108715,287.769989,73.669998,162.979996,77.475471,21.685604,49.530861,55.357323,70.186707
